"id","obpp_situr_code","obpp_name","code","project_ids/display_name","description","subcategory_id/name","category_id/name","investment_sector_id/name","obpp_estado","obpp_municipio","obpp_parroquia","state","accountability_id/percent"
"__export__.sinco_project_51027","C-RUR-2019-11-0002","GENERAL FRANCISCO DE MIRANDA 2019","COM-21-19-09-00002","FORTALECIMIENTO E IMPULSO DE LA PRODUCCIÓN AGROPECUARIA EN LA GANADERÍA DOBLE PROPÓSITO Y CRÍA DE POLLOS DE ENGORDES, EN LA PARROQUIA EL DIVIDIVE, MUNICIPIO MIRANDA ESTADO TRUJILLO.","CONSISTE EN LA ADQUISICIÓN DE 20 NOVILLAS Y 2 TOROS DE GANADERÍA DOBLE PROPÓSITO PARA LA PRODUCCIÓN DE LECHE Y CARNE DE BOVINOS, IGUALMENTE LA COMPRA DE 4.000 POLLOS BEBES DE ENGORDE PARA LA PRODUCCIÓN DE PROTEÍNA ANIMAL, ACONDICIONAMIENTO Y PUESTA EN FUNCIONAMIENTO DE UN GALPÓN PARA CRÍA DE LOS POLLOS DE ENGORDES CON DIMENSIÓN DE 80 X 10 M2 CUADRADOS, TODO CON SU RESPECTIVO MANEJO SANITARIO Y BENEFICIO. IGUALMENTE LA SIEMBRA DE 1O HECTÁREAS DE PASTA DE CORTE PARA GANADERÍA DOBLE PROPÓSITO, BENEFICIANDO A MAS DE 9.500 HABITANTE, RESALTANDO QUE LA PRODUCCIÓN DE CARNE DE POLLO, CARNE DE BOVINOS Y LECHE SERA DISTRIBUIDO POR LOS CLAPS DEL MUNICIPIO Y ADYACENTES EN UN TRABAJO MANCOMUNADO.","CRÍA Y ENGORDE DE BOVINOS","SISTEMAS AGROPECUARIOS","SOCIOPRODUCTIVOS","TRUJILLO","MIRANDA","EL DIVIDIVE","En evaluación",""
"__export__.sinco_project_51029","16-07-02-001-0023","JOSE TADEO MONAGAS","CCO-21-14-06-00028","PLAN AGROPRODUCTIVO COMUNAL","El proyecto a desarrollar cumple con el propósito de beneficiar a nuestra comunidad con la siembra de 5 rubros agrícolas como Yuca, Frijol, Melón Patilla y Auyama. Que serán distribuidas en 10 conucos comunitarios.","CONUCO","SISTEMA DE PRODUCCIÓN AGRÍCOLA","SOCIOPRODUCTIVOS","MONAGAS","LIBERTADOR","CHAGUARAMAS","En evaluación",""
"__export__.sinco_project_51030","01-01-10-001-0060","UNIDOS DE BRUZUAL","CCO-21-01-01-00133","2da ETAPA DE DE REHABILITACION DE LOS DUCTOS DE AGUAS NEGRAS Y CAMINERIAS ","SE CULMINARAN LOS DUCTOS DE AGUAS NEGRAS Y LAS CAMINERIAS QUE FALTARON POR TERMINAR ","REDES DE RECOLECCIÓN DE AGUAS SERVIDAS","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","DISTRITO CAPITAL","LIBERTADOR","EL VALLE","En evaluación",""
"__export__.sinco_project_51031","15-10-01-001-0011","EL TRABUCO","CCO-21-13-03-00013","Mantenimiento correctivo y preventivo del ambulatorio  Eloina Zapata ","Mantenimiento correctivo y preventivo del area interna ,cableado ,alumbrado ,pintura ,cielo razo , construccion de muro del area perimetral externa ,pintura de  fachadas frontal .iateral derecha e isquierda y frontal ,acondicionamiento del tanque subterraneo ,ya que `presenta fisuras. ","AMBULATORIOS RURALES TIPO I","SALUD","SERVICIOS PÚBLICOS","MIRANDA","GUAICAIPURO","LOS TEQUES","En evaluación",""
"__export__.sinco_project_51032","15-04-01-J16-0004","ALTO DE MESA GGRANDE","CCO-21-13-02-00012","Suministro de tanques de agua potable","Entrega de tanques de agua potables a jefes de familias, beneficiando aproximadamente 140 familias.","TANQUES DE ALMACENAMIENTO","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","MIRANDA","BRIÓN","HIGUEROTE","En evaluación",""
"__export__.sinco_project_51033","11-08-01-039-0000","EL YABALITO (SIN NOMBRE COMERCIAL)","CCO-21-09-06-00019","CONSTRUCCIÓN DE UN ACUEDUCTO RURAL PARA LA COMUNIDAD EL YABALITO, PARROQUIA PEDREGAL, MUNICIPIO DEMOCRACIA DEL ESTADO FALCON.","CON ESTE PROYECTO SE PRETENDE CONSTRUIR UN ACUEDUCTO RURAL EN LA COMUNIDAD EL YABALITO, REALIZANDO LAS SIGUIENTES ACTIVIDADES: ADQUISICIÓN DE UNA MOTO BOMBA DE 4 PLG, CONSTRUCCIÓN DE UNA CAJA DE AGUA DE 400 PIPAS, COLOCACIÓN DE 3000 METROS DE MANGUERAS PEAD DE 4 PLG Y 1000 METROS DE MANGUERAS PEAD 3 PLG PARA LA TUBERÍA MADRE, COLOCACIÓN DE 2000 METROS DE MANGUERAS  PEAD 1 "" Y 1/2"" PARA LAS TOMAS DOMICILIARIAS, COLOCACIÓN DE 06 LLAVES DE PASO DE 4 PLG, COLOCACIÓN DE CONEXIONES, ABRAZADERAS,.","REDES DE DISTRIBUCIÓN DE AGUA POTABLE","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","FALCÓN","DEMOCRACIA","PEDREGAL","En evaluación",""
"__export__.sinco_project_51034","01-01-10-001-0020","LA BENDICION DEL APURE PARTE MEDIA","CCO-21-01-01-00134","2 da Etapa de reparacion de camineria y Restauracion de tuberias de aguas blancas y  aguas servidas, Pantalla atirantada y Muros","se culminaran la reparacion de caminerias restauracion de tuberias de aguas servidadas y de aguas blancas en la comunidad la bendicion del apure ","ESCALERA","VIALIDAD","SERVICIOS PÚBLICOS","DISTRITO CAPITAL","LIBERTADOR","EL VALLE","En evaluación",""
"__export__.sinco_project_51035","12-10-04-017-0000","PLATILLON (SIN NOMBRE COMERCIAL)","CCO-21-10-12-00016","Cambio de 2 transformadores quemados con sus tabacos","Cambio de dos transformadores de 15 KVA dañados por las descargas electricas, generadas por las lluvias y 4 tabacos que se dañaron dañando el servicio electrico de la cual se beneficiaban 20 familias en los sectores de las abjuntas y las palmas.","ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","GUÁRICO","ORTÍZ","SAN LORENZO DE TIZNADOS","En evaluación",""
"__export__.sinco_project_51039","14-16-01-001-0008","EL CEDRO","CCO-21-12-15-00020","CONSTRUCCION DE RED ELECTRICA EN LA CURVA SECTOR EL CEDRO","Realizar un tendido de red electrica incluyendo alubrado publico en el sector la curva de el cedro","ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","MÉRIDA","PUEBLO LLANO","PUEBLO LLANO","En evaluación",""
"__export__.sinco_project_51041","01-01-02-001-0097","CALLE EL PADRE","CCO-21-01-01-00135","2da etapa de construcción de muro de contencion  y rehabilitacion de camineria","culminación  del proyecto del muro de contención y la rehabilitación de caminera para lograr  la estabilización del terreno afectado por ","BLOQUE DE CONCRETO","MUROS","SERVICIOS PÚBLICOS","DISTRITO CAPITAL","LIBERTADOR","ANTÍMANO","En evaluación",""
