muertes
0
0
0
0
0
0
0
0
0
0
0
0
0
1
2
2
3
3
3
3
5
7
7
7
7
7
9
9
9
9
9
9
9
9
9
9
9
9
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
