id,obpp_situr_code,description,category_id/id,subcategory_id/id
__export__.sinco_project_45993,11-24-01-001-0004,"PROCURA DE 89 TANQUES DE AGUA TIPO CÓNICOS DE 1500 LITROS, PARA LAS FAMILIAS DEL CONSEJO COMUNAL EL ESTADIO.",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
__export__.sinco_project_45996,12-11-01-001-0031,"EL PROYECTO CONSISTE EN LA CONTINUACION DE EL MEJORAMIENTO DEL SISTEMA ELÉCTRICO DEL SECTOR TRICOLOR 5 DE JULIO EN ALTA Y BAJA EN VOLTAJE 13.800, COLOCACIÓN DE PÓSTER 2/0 CON ALVIDALES Y AISLADORES. E CUAL SE INICIO CON UN ALTO AVANCE, SOLICITAMOS LA SEGUNDA ETAPA PARA CULMINAR ESTA REHABILITACIÓN Y ASI LOGAR QUE LA MITAD DE LOS HABITANTES DEL SECTOR TENGAS BUENA LUZ",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_redurb
__export__.sinco_project_45997,12-05-01-001-0070,"El consejo comunal loma de piedra necesita construir un pozo profundo de 60 metros de profundidad, Ya que a venimos necesitamos el agua para el consumo humano y un tanque de almacenamiento del agua. Debido a que viene padeciendo de la escasez del vital liquido desde hace un largo tiempo.",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_pozpro
__export__.sinco_project_45998,12-05-01-001-0005,"La comunidad de lirios del valle presenta la problemática del sistema de bombeo de agua continuo, el servicio de agua llega cada 15 días en las partes bajas del sector, quedando sin agua parte de la población, es por esta razón que nos vemos en la necesidad de solicitar tanques de aguas para almacenar agua para que nos dure los días suficientes previos al próximo servicio de agua.",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_46000,21-20-06-001-0021,"CONSISTE EN MEJORAR Y REHABILITAR 2000 ML, METROS LINEALES DEL TENDIDO ELÉCTRICO DEL ALUMBRADO PUBLICO, DONDE SE COLOCARAN POSTES DE BAJA Y ALTA TENSIÓN, LAMPARAS DE 220 VOLTIOS Y UN BANCO DE TRANSFORMADOR de 35 KWA, ESTO ES CON LA FINALIDAD DE ARREGLAR LAS FALLAS QUE PRESENTA EL SISTEMA ELÉCTRICOS PUBLICO DE LAS VIVIENDAS Y ALUMBRADO.",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_redurb
__export__.sinco_project_46002,21-20-05-001-0010,"CONSISTE EN MEJORAR Y REHABILITAR 1500 ML, METROS LINEALES DEL TENDIDO ELÉCTRICO DEL ALUMBRADO PUBLICO, TODO CON SUS RESPECTIVOS ACCESORIO ELÉCTRICOS Y ARREGLO DE MURO DE CONTENCIÓN DE 5X5 M2 YA QUE SE ESTA PRESENTANDO UNA FALLA DE BORDE Y AFECTA A LA CAMINERIAS, CASAS Y CARRETERA DE LA AVENIDA PRINCIPAL DEL SECTOR.",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_redurb
__export__.sinco_project_46004,21-11-01-024-0001,"CONSISTE EN LA CONSTRUCCIÓN DE 12O METROS LINEALES POR 4,5 METROS DE ANCHO Y ESPESOR DE 0,12 METROS DE PAVIMENTO RÍGIDO EN LOS TRAMOS PRINCIPALES DE LA VIALIDAD AGRICOLA DEL SECTOR EL OLIVO, ZONA NETAMENTE AGROPRODUCTIVA, EL CUAL SE EJECUTARA CON LA MISMA COMUNIDAD.",sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_pav
__export__.sinco_project_46008,12-11-01-E71-0000,"El proyecto consiste en la adquisición de bombillos, lámparas y do(2) transformador que se encuentra dañado en nuestro sector lo que hace que la electricidad sea deficiente y así mejorar la calidad de vida de los habitantes de nuestra comunidad ",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46011,09-08-02-010-0000,"vialidad agricola en pesima condiciones, donde se imposibilita la salida de la produccion agricola y animal ",sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_cartie
__export__.sinco_project_46012,21-20-03-001-0054,"Se van fabricar 280 tapas de 60 x 1.60 x 15  mts en concreto armado el cual llevara cabillas de 1/2, 3/8, asi como tambien se deben encofrar con farmaletas de 15 cmt  de espesor cada una. Asi mismo se colocaran 400 mts tuberias de 2"" y  4"" PVC el cual abarcara 
2.000 mts lineales de embaulamiento de aguas negras que beneficiara a mas de 320 personas entre niños, adultos y adultos mayores.    ",sinco_project_category.sinco_project_cat_amb,sinco_project_category.sinco_project_subcat_proque
